"","VEND","PANID","UNITS","OUTLET","DOLLARS","ITEM","F","D","PR","VOL_EQ","SIZE","FLAVOR.SCENT","FORM","PACKAGE","PRODUCT.TYPE","STORE.LOCATION","ADDITIVES","TYPE.OF.FORMULAT","COLOR","COUNT","VENDORITEMCOUNT"
"21","10158","1813089",1,"GR",4.98,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"22","10158","1310318",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"23","10158","1119008",1,"GR",7.19,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"24","10158","1308569",1,"GR",4.49,"7704","NONE",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"25","10158","1308569",1,"GR",5.31,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"26","10158","1107367",1,"GR",5.37,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"27","10158","3129668",1,"GR",4.79,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"28","10158","3129668",1,"GR",4.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"29","10158","3304139",1,"GR",4.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"30","10158","3129668",1,"GR",4.79,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"31","10158","3304139",1,"GR",4.79,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"32","10158","3333963",1,"GR",4.79,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"33","10158","3347393",1,"GR",4.79,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"34","10158","3129668",1,"GR",4.79,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"35","10158","1123752",1,"GR",5.11,"8111","NONE",2,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"36","10158","3308593",1,"DR",4.99,"8111","A+",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"37","10158","3132670",1,"DR",3.99,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"38","10158","3132670",1,"DR",5.79,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"39","10158","1245704",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"40","10158","1309039",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"41","10158","1408716",1,"GR",3.98,"8111","C",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"42","10158","1813089",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"43","10158","1816249",1,"GR",4.98,"8111","B",2,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"44","10158","1204636",1,"GR",4.98,"8111","B",2,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"45","10158","1121723",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"46","10158","1225532",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"47","10158","1303875",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"48","10158","1245704",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"49","10158","1232348",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"50","10158","3184168",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"51","10158","3825133",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"52","10158","3166298",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"53","10158","3325050",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"54","10158","3147033",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"55","10158","3161661",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"56","10158","3147033",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"57","10158","3343046",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"58","10158","3336792",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"59","10158","3161661",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"60","10158","1107920",3,"DR",11.97,"8111","A",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"61","10158","1119008",1,"GR",7.19,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"62","10158","1195503",2,"GR",7.18,"8111","B",2,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"63","10158","3325050",1,"GR",5.19,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"64","10158","1189753",1,"GR",7.19,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"65","10158","3361931",1,"GR",4.99,"8111","NONE",1,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"66","10158","3339523",1,"GR",5.19,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"67","10158","1105569",1,"GR",3.64,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"68","10158","1111245",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"69","10158","1307678",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"70","10158","1307868",1,"GR",3.64,"8111","B",2,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"71","10158","1812776",1,"GR",3.64,"8111","B",2,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"72","10158","1104687",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"73","10158","1114678",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"74","10158","1186361",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"75","10158","1215178",1,"GR",4.49,"8111","NONE",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"76","10158","1114678",1,"GR",4.94,"8111","NONE",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"77","10158","1170746",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"78","10158","1133637",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"79","10158","1123109",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"80","10158","1204636",1,"GR",5.59,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"81","10158","1133637",2,"GR",7.12,"8111","A",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"82","10158","1170746",1,"GR",3.56,"8111","A",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"83","10158","3398834",1,"GR",5.38,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"84","10158","3155713",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"85","10158","3359752",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"86","10158","3334839",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"87","10158","3823120",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"88","10158","3330373",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"89","10158","3834184",2,"GR",8.18,"8111","NONE",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"90","10158","3805101",2,"GR",8.18,"8111","NONE",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"91","10158","3120857",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"92","10158","3308593",1,"GR",5.29,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"93","10158","1310318",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"94","10158","1310318",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"95","10158","1310318",1,"GR",5.99,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"96","10158","1310318",1,"GR",4.48,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"97","10158","1124743",1,"GR",3.98,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"98","10158","1132720",1,"DR",3.99,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"99","10158","1195503",1,"DR",4.12,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"100","10158","1119008",1,"DR",3.99,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"101","10158","1148379",1,"DR",3.99,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"102","10158","1107920",4,"DR",23.16,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"103","10158","1816249",1,"GR",5.99,"8350","NONE",2,0,0.25,"REGULAR","FRESH","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","GREEN",1,12
"104","10158","3361931",1,"GR",4.99,"8111","NONE",1,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"105","10158","3111211",4,"DR",21.96,"8111","A+",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"106","10158","3328062",1,"DR",5.79,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"107","10158","1245704",1,"GR",5.99,"8350","NONE",0,0,0.25,"REGULAR","FRESH","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","GREEN",1,12
"108","10158","3320093",1,"GR",4.99,"8350","NONE",0,0,0.25,"REGULAR","FRESH","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","GREEN",1,12
"109","10158","3347393",1,"DR",4.74,"8350","NONE",0,1,0.25,"REGULAR","FRESH","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","GREEN",1,12
"110","10158","1315697",2,"GR",7.36,"8350","B",0,1,0.25,"REGULAR","FRESH","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","GREEN",1,12
